course_name,course_num,last_name,first_name,a_num,a_per,b_num,b_per,c_num,c_per,d_num,d_per,f_num,f_per,i_num,i_per,s_num,s_per,u_num,u_per,w_num,w_per,o_num,o_per,total_num
EMA-4003 -001-C (53497),53497,Fawcett,Timothy,2,40.00,1,20.00,1,20.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,20.00,0,0,5
ECH-4267 -001-C (54017),54017,Toomey,Ryan,2,11.11,7,38.89,7,38.89,1,5.56,1,5.56,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18
ECH-4944 -001-I (54143),54143,Campbell,Scott,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,5.56,34,94.44,0,0.00,0,0.00,0,0,36
ECH-4418 -001-C (54578),54578,Koria,Piyush,1,6.25,9,56.25,6,37.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,16
ECH-4931 -006-C (56434),56434,Schemel,Christopher,14,60.87,7,30.43,2,8.70,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,23
EGN-3433 -001-C (57425),57425,Campbell,Scott,14,34.15,12,29.27,11,26.83,0,0.00,1,2.44,0,0.00,0,0.00,0,0.00,3,7.32,0,0,41
ECH-3101 -001-C (57426),57426,Fawcett,Timothy,6,37.50,7,43.75,1,6.25,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,6.25,1,6,16
ECH-3023 -001-C (57427),57427,Gupta,Vinay,1,5.26,5,26.32,5,26.32,4,21.05,1,5.26,0,0.00,0,0.00,0,0.00,3,15.79,0,0,19
ECH-4418 -701-O (57997),57997,Koria,Piyush,0,0.00,3,50.00,3,50.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,6
ECH-4931 -023-O (58706),58706,Stern,Lawrence,5,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,5
EGN-3311 -001-C (50132),50132,Nohra,Karim,13,26.00,15,30.00,11,22.00,3,6.00,3,6.00,0,0.00,0,0.00,0,0.00,5,10.00,0,0,50
EGN-3321 -001-C (50133),50133,Nohra,Karim,9,22.50,11,27.50,15,37.50,2,5.00,1,2.50,0,0.00,0,0.00,0,0.00,2,5.00,0,0,40
CEG-4011 -001-C (50140),50140,Stokes,Michael,9,33.33,8,29.63,6,22.22,2,7.41,2,7.41,0,0.00,0,0.00,0,0.00,0,0.00,0,0,27
CWR-4202 -001-C (50663),50663,Nachabe,Mahmoud,6,22.22,10,37.04,10,37.04,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,3.70,0,0,27
CEG-4011L-001-L (50689),50689,Mullins,Austin,0,0.00,2,40.00,2,40.00,0,0.00,1,20.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,5
CEG-4011L-002-L (50690),50690,Mullins,Austin,8,44.44,6,33.33,2,11.11,1,5.56,1,5.56,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18
CCE-4031 -001-C (52051),52051,Mubarak,Saleh,21,50.00,15,35.71,5,11.90,1,2.38,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,42
CES-3102 -001-C (52997),52997,Stokes,Michael,6,20.69,8,27.59,5,17.24,5,17.24,3,10.34,2,6.90,0,0.00,0,0.00,0,0.00,0,0,29
EGN-4453 -001-C (53448),53448,Gunaratne,Manjriker,2,6.90,3,10.34,12,41.38,4,13.79,0,0.00,2,6.90,0,0.00,0,0.00,6,20.69,0,0,29
CCE-5035 -901-C (57088),57088,Mubarak,Saleh,1,16.67,4,66.67,0,0.00,1,16.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,6
SUR-2101C-701-C (58260),58260,Godfrey,James,60,86.96,8,11.59,1,1.45,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,69
EGN-1113 -701-C (58261),58261,Penaloza Gutierrez,Juan,25,62.50,10,25.00,1,2.50,0,0.00,1,2.50,0,0.00,0,0.00,0,0.00,3,7.50,0,0,40
COP-3514 -001-C (50150),50150,Small,Schinnel,29,48.33,22,36.67,6,10.00,1,1.67,0,0.00,0,0.00,0,0.00,0,0.00,2,3.33,0,0,60
CDA-3103 -001-C (50245),50245,Andujar,Marvin,17,28.33,24,40.00,9,15.00,1,1.67,6,10.00,1,1.67,0,0.00,0,0.00,2,3.33,0,0,60
COP-4600 -001-C (50648),50648,Kim,Gene,8,28.57,14,50.00,3,10.71,0,0.00,3,10.71,0,0.00,0,0.00,0,0.00,0,0.00,0,0,28
COT-4210 -001-C (51052),51052,Li,Wanwan,19,42.22,18,40.00,3,6.67,0,0.00,2,4.44,0,0.00,0,0.00,0,0.00,3,6.67,0,0,45
CGS-3303 -701-O (51414),51414,Pazos Revilla,Marbin,8,13.33,36,60.00,15,25.00,0,0.00,1,1.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0,60
COP-4530 -001-C (51484),51484,Korzhova,Valentina,22,36.67,25,41.67,9,15.00,2,3.33,0,0.00,0,0.00,0,0.00,0,0.00,2,3.33,0,0,60
CDA-4205 -002-C (52054),52054,Ahmed,Md Rubel,12,30.77,18,46.15,7,17.95,0,0.00,2,5.13,0,0.00,0,0.00,0,0.00,0,0.00,0,0,39
COT-4400 -901-C (52964),52964,Hendrix,William,25,49.02,20,39.22,2,3.92,0,0.00,3,5.88,0,0.00,0,0.00,0,0.00,1,1.96,0,0,51
CIS-4940 -004-I (53833),53833,Christensen,Kenneth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,5,100.00,0,0.00,0,0.00,0,0,5
CIS-4940 -026-I (53889),53889,Wang,Jing,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,14,100.00,0,0.00,0,0.00,0,0,14
CIS-4940 -032-I (54476),54476,Hendrix,William,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,100.00,0,0.00,0,0.00,0,0,12
CIS-3213 -701-C (54719),54719,Gauvin Jr,William,21,35.00,21,35.00,17,28.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,1.67,0,0,60
CIS-6946 -033-I (54998),54998,Ou,Xinming,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,22,95.65,1,4.35,0,0.00,0,0,23
CIS-4930 -001-C (55262),55262,Castellanos Mier,Alexandro,24,77.42,7,22.58,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,31
CIS-4900 -032-Z (55637),55637,Hendrix,William,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,9,100.00,0,0.00,0,0.00,0,0,9
CIS-4940 -024-I (55664),55664,Korzhova,Valentina,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,100.00,0,0.00,0,0.00,0,0,6
CIS-4940 -038-I (55698),55698,Small,Schinnel,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,7,100.00,0,0.00,0,0.00,0,0,7
CIS-4947 -041-I (56084),56084,Anderson,James,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,9,100.00,0,0.00,0,0.00,0,0,9
CIS-4947 -037-I (56102),56102,Hidalgo,Isabela,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,10,100.00,0,0.00,0,0.00,0,0,10
